Boston Marathon Year,Window Open,Window Closed
2025,9/1/2023,9/13/2024
2024,9/1/2022,9/15/2023
2023,9/1/2021,9/16/2022
2019,9/16/2017,9/19/2018
2018,9/17/2016,9/20/2017
2017,9/19/2015,9/17/2016
